Eon,TransitionMechanism,FinalScaleFactor_a,PeakEntropy_kB,BekensteinLimit_kB,CoreMassFraction_pct,FossilOdometerTotal_s,CPUSteps,Duration_seconds,Timestamp
1,Rebote Gravitatorio (Túnel Cuántico),2.102,3500.0,3500.0,19.96,3500.0,71547,985.3,2026-08-17 18:35:43
2,Rebote Gravitatorio (Túnel Cuántico),2.068,3540.7,3500.0,18.0,3612.4,69257,1227.3,2026-08-17 18:56:10
3,Rebote Gravitatorio (Túnel Cuántico),2.769,3500.1,3500.0,18.95,6755.1,115990,2047.6,2026-08-17 19:30:18
4,Rebote Gravitatorio (Túnel Cuántico),2.119,3500.1,3500.0,20.09,6844.1,72631,1244.9,2026-08-17 19:51:03
5,CCC (Muerte Térmica),8.537,1027.7,3500.0,0.0,7335.3,1,0.0,2026-08-17 22:13:41
6,Rebote Gravitatorio (Túnel Cuántico),2.181,3500.1,3500.0,19.97,7499.1,76765,1320.1,2026-08-17 22:35:41
7,Rebote Gravitatorio (Túnel Cuántico),2.339,3500.0,3500.0,18.74,7774.2,87303,1625.6,2026-08-17 23:02:47
8,Rebote Gravitatorio (Túnel Cuántico),2.045,3502.6,3500.0,18.0,7882.5,67718,1105.9,2026-08-17 23:21:13
9,Rebote Gravitatorio (Túnel Cuántico),2.19,3500.0,3500.0,18.41,8037.9,77392,1259.5,2026-08-17 23:42:12
10,Rebote Gravitatorio (Túnel Cuántico),2.074,3500.0,3500.0,19.78,8152.9,69658,1154.9,2026-08-18 00:01:27
11,Rebote Gravitatorio (Túnel Cuántico),2.241,3500.1,3500.0,20.53,8270.5,80780,1325.0,2026-08-18 00:23:32
12,Rebote Gravitatorio (Túnel Cuántico),2.109,3500.0,3500.0,18.93,8680.5,71986,1164.3,2026-08-18 00:42:57
13,Rebote Gravitatorio (Túnel Cuántico),2.382,3500.0,3500.0,20.65,8825.7,90169,1468.6,2026-08-18 01:07:25
14,Rebote Gravitatorio (Túnel Cuántico),2.181,3500.1,3500.0,20.49,8913.8,76814,1245.8,2026-08-18 01:28:11
15,CCC (Muerte Térmica),7.0,1197.4,3500.0,0.0,9242.5,398053,6532.6,2026-08-18 03:17:04
16,Rebote Gravitatorio (Túnel Cuántico),2.162,3500.1,3500.0,19.77,9366.5,75499,1235.0,2026-08-18 03:37:39
17,Rebote Gravitatorio (Túnel Cuántico),2.072,3500.1,3500.0,20.24,9878.8,69530,1137.2,2026-08-18 03:56:36
18,CCC (Muerte Térmica),7.0,588.9,3500.0,0.0,10237.3,398053,6614.5,2026-08-18 05:46:51
19,CCC (Muerte Térmica),7.0,1325.8,3500.0,0.0,10819.8,398053,6508.5,2026-08-18 07:35:20
20,Rebote Gravitatorio (Túnel Cuántico),2.089,3500.0,3500.0,18.58,11020.3,70635,1134.4,2026-08-18 07:54:14
21,Rebote Gravitatorio (Túnel Cuántico),2.036,3500.0,3500.0,19.22,11140.2,67147,1093.3,2026-08-18 08:12:27
22,CCC (Muerte Térmica),7.0,1359.6,3500.0,0.0,11225.4,398053,6464.6,2026-08-18 10:00:12
23,Rebote Gravitatorio (Túnel Cuántico),2.295,3500.0,3500.0,19.14,11397.0,84395,1383.6,2026-08-18 10:23:16
24,Rebote Gravitatorio (Túnel Cuántico),2.275,3500.0,3500.0,19.98,11592.4,83075,1352.1,2026-08-18 10:45:48
25,Rebote Gravitatorio (Túnel Cuántico),2.162,3500.1,3500.0,20.22,11698.2,75525,1250.9,2026-08-18 11:06:39
26,Rebote Gravitatorio (Túnel Cuántico),2.305,3500.0,3500.0,18.33,11888.3,85042,1422.7,2026-08-18 11:30:22
27,Rebote Gravitatorio (Túnel Cuántico),2.39,3500.0,3500.0,19.38,12151.1,90713,1584.8,2026-08-18 11:56:46
28,Rebote Gravitatorio (Túnel Cuántico),2.419,3500.1,3500.0,19.52,12386.2,50176,697.1,2026-08-18 12:19:47
29,Rebote Gravitatorio (Túnel Cuántico),2.134,3500.0,3500.0,20.5,12625.3,73684,1351.7,2026-08-18 12:42:19
30,Rebote Gravitatorio (Túnel Cuántico),2.35,3500.1,3500.0,20.58,15409.1,88057,1659.0,2026-08-18 13:09:58
31,CCC (Muerte Térmica),7.0,547.1,3500.0,0.0,15531.9,130317,1571.5,2026-08-18 14:59:22
32,CCC (Muerte Térmica),7.0,908.3,3500.0,0.0,15662.0,307514,3564.9,2026-08-18 16:25:09
33,CCC (Muerte Térmica),7.0,997.3,3500.0,0.0,15789.4,398053,7116.1,2026-08-18 18:23:45
34,Rebote Gravitatorio (Túnel Cuántico),2.206,3500.1,3500.0,19.43,16069.7,78456,1495.5,2026-08-18 18:48:41
35,Rebote Gravitatorio (Túnel Cuántico),2.394,3500.1,3500.0,19.74,16163.8,90960,1645.5,2026-08-18 19:16:06
36,Rebote Gravitatorio (Túnel Cuántico),1.892,3500.0,3500.0,18.54,16366.8,57545,5663.9,2026-08-18 20:50:30
37,Rebote Gravitatorio (Túnel Cuántico),1.973,3500.0,3500.0,18.82,16582.4,62922,1582.5,2026-08-18 21:16:53
38,Rebote Gravitatorio (Túnel Cuántico),2.261,3500.0,3500.0,18.64,16649.5,82113,1541.7,2026-08-18 21:42:34
39,Rebote Gravitatorio (Túnel Cuántico),2.16,3500.0,3500.0,18.56,17220.7,75396,1414.8,2026-08-18 22:06:09
40,Rebote Gravitatorio (Túnel Cuántico),2.553,3500.0,3500.0,18.96,17370.4,101563,1755.9,2026-08-18 22:35:25
41,CCC (Muerte Térmica),7.0,1041.8,3500.0,0.0,17511.6,398053,6509.9,2026-08-19 00:23:55
42,Rebote Gravitatorio (Túnel Cuántico),2.111,3500.0,3500.0,20.14,17632.0,72122,1172.8,2026-08-19 00:43:28
43,Rebote Gravitatorio (Túnel Cuántico),2.481,3500.0,3500.0,20.15,17988.0,96810,1580.4,2026-08-19 01:09:49
44,Rebote Gravitatorio (Túnel Cuántico),2.074,3500.1,3500.0,19.93,18121.0,69674,1124.4,2026-08-19 01:28:33
45,CCC (Muerte Térmica),7.0,1349.9,3500.0,0.0,18314.4,398053,6481.8,2026-08-19 03:16:35
46,Rebote Gravitatorio (Túnel Cuántico),2.492,3500.1,3500.0,20.04,18414.5,97487,1570.8,2026-08-19 03:42:46
47,Rebote Gravitatorio (Túnel Cuántico),2.094,3500.1,3500.0,20.5,18720.8,70965,1149.7,2026-08-19 04:01:56
48,CCC (Muerte Térmica),7.0,1591.8,3500.0,0.0,18920.0,398053,6467.0,2026-08-19 05:49:43
49,CCC (Muerte Térmica),7.0,816.1,3500.0,0.0,19083.2,398053,6385.9,2026-08-19 07:36:09
50,Rebote Gravitatorio (Túnel Cuántico),2.115,3500.1,3500.0,19.97,19197.8,72382,1189.1,2026-08-19 07:55:58
51,CCC (Muerte Térmica),7.0,627.0,3500.0,0.0,19341.0,398053,6891.4,2026-08-19 09:50:49
